Generation,Fitness,Best fitness,Mutation rate
0,4585.721568813131,4585.721568813131,0.2525
1,4343.426896464646,4343.426896464646,0.255025
2,4106.384867739899,4106.384867739899,0.25757525
3,3860.0280173611113,3860.0280173611113,0.2601510025
4,3765.8213658459595,3765.8213658459595,0.262752512525
5,3765.8213658459595,3765.8213658459595,0.1313762562625
6,3700.4761051136365,3700.4761051136365,0.132690018825125
7,3624.0836070075757,3624.0836070075757,0.13401691901337623
8,3518.364028093434,3518.364028093434,0.13535708820351
9,3423.4265479797978,3423.4265479797978,0.1367106590855451
10,3388.804800820707,3388.804800820707,0.13807776567640057
