Generation,Fitness,Best fitness,Mutation rate
0,1138.0204349925705,1138.0204349925705,0.14984999999999998
1,1138.0204349925705,1138.0204349925705,0.14999984999999996
2,1138.0204349925705,1138.0204349925705,0.15014984984999993
3,1138.0204349925705,1138.0204349925705,0.15029999969984992
4,1138.0204349925705,1138.0204349925705,0.15045029969954976
5,1138.0204349925705,1138.0204349925705,0.1506007499992493
6,1138.0204349925705,1138.0204349925705,0.15075135074924853
7,1133.7475104011887,1133.7475104011887,0.1506005993984993
8,1133.7475104011887,1133.7475104011887,0.15075119999789777
9,1133.7475104011887,1133.7475104011887,0.15090195119789565
10,1132.663618870728,1132.663618870728,0.15075104924669774
11,1132.663618870728,1132.663618870728,0.15090180029594444
12,1130.4418554977713,1130.4418554977713,0.1507508984956485
13,1130.4418554977713,1130.4418554977713,0.15090164939414413
14,1128.7291939078752,1128.7291939078752,0.15075074774475
15,1120.9332303120357,1120.9332303120357,0.15059999699700524
16,1120.9332303120357,1120.9332303120357,0.15075059699400223
17,1120.9332303120357,1120.9332303120357,0.15090134759099622
18,1120.9332303120357,1120.9332303120357,0.1510522489385872
19,1120.9332303120357,1120.9332303120357,0.15120330118752578
20,1115.4019323922735,1115.4019323922735,0.15105209788633825
21,1115.4019323922735,1115.4019323922735,0.15120314998422457
22,1113.8319030460625,1113.8319030460625,0.15105194683424034
23,1112.6688889301633,1112.6688889301633,0.1509008948874061
24,1110.435015601783,1110.435015601783,0.1507499939925187
25,1110.435015601783,1110.435015601783,0.1509007439865112
26,1110.435015601783,1110.435015601783,0.1510516447304977
27,1110.435015601783,1110.435015601783,0.15120269637522818
28,1110.3339242199108,1110.3339242199108,0.15105149367885295
29,1100.4269899702824,1100.4269899702824,0.1509004421851741
30,1100.203056835067,1100.203056835067,0.1507495417429889
31,1100.203056835067,1100.203056835067,0.15090029128473187
32,1098.6385189450223,1098.6385189450223,0.15074939099344714
33,1098.6385189450223,1098.6385189450223,0.15090014038444058
34,1096.7417150817237,1096.7417150817237,0.15074924024405614
35,1096.7417150817237,1096.7417150817237,0.1508999894843002
36,1096.7417150817237,1096.7417150817237,0.15105088947378448
37,1096.7417150817237,1096.7417150817237,0.15120194036325824
38,1096.7417150817237,1096.7417150817237,0.15135314230362149
39,1096.7417150817237,1096.7417150817237,0.1515044954459251
40,1096.7417150817237,1096.7417150817237,0.151655999941371
41,1096.7417150817237,1096.7417150817237,0.15180765594131235
42,1090.998765230312,1090.998765230312,0.15165584828537104
43,1090.998765230312,1090.998765230312,0.1518075041336564
44,1090.998765230312,1090.998765230312,0.15195931163779003
45,1090.998765230312,1090.998765230312,0.1521112709494278
46,1090.998765230312,1090.998765230312,0.15226338222037722
47,1090.998765230312,1090.998765230312,0.15241564560259757
48,1090.998765230312,1090.998765230312,0.15256806124820016
49,1090.998765230312,1090.998765230312,0.15272062930944835
50,1090.998765230312,1090.998765230312,0.15287334993875779
