Generation,Fitness,Best fitness,Mutation rate
0,4277.695831723626,4277.695831723626,0.099
1,4153.822756686479,4153.822756686479,0.09801
2,3951.9423291233284,3951.9423291233284,0.0970299
3,3791.9707607726596,3791.9707607726596,0.096059601
4,3685.6692095096582,3685.6692095096582,0.09509900499
5,3658.999028603269,3658.999028603269,0.0941480149401
6,3577.3102135958397,3577.3102135958397,0.093206534790699
7,3506.3122585438337,3506.3122585438337,0.09227446944279201
8,3422.2588792719166,3422.2588792719166,0.09135172474836409
9,3333.412225482912,3333.412225482912,0.09043820750088044
10,3283.5232566864784,3283.5232566864784,0.08953382542587164
11,3221.6948354383358,3221.6948354383358,0.08863848717161292
12,3165.5610865527487,3165.5610865527487,0.08775210229989679
13,3082.3646950222883,3082.3646950222883,0.08687458127689782
14,3030.3643725854386,3030.3643725854386,0.08600583546412884
15,3014.174247028232,3014.174247028232,0.08514577710948755
16,2989.331099182764,2989.331099182764,0.08429431933839267
17,2927.823631872214,2927.823631872214,0.08345137614500873
18,2888.438196136701,2888.438196136701,0.08261686238355864
19,2850.439617384844,2850.439617384844,0.08179069375972306
20,2817.5169000742944,2817.5169000742944,0.08097278682212583
21,2787.655587667162,2787.655587667162,0.08016305895390458
22,2746.550145616642,2746.550145616642,0.07936142836436554
23,2706.662911218425,2706.662911218425,0.07856781408072187
24,2679.5178606983654,2679.5178606983654,0.07778213593991465
25,2640.223942421991,2640.223942421991,0.0770043145805155
26,2607.9106838781577,2607.9106838781577,0.07623427143471034
27,2587.287224368499,2587.287224368499,0.07547192872036323
28,2576.08919576523,2576.08919576523,0.0747172094331596
29,2559.289056463596,2559.289056463596,0.073970037338828
30,2522.8407540861813,2522.8407540861813,0.07323033696543972
31,2491.8845100297176,2491.8845100297176,0.07249803359578533
32,2470.8150052005944,2470.8150052005944,0.07177305325982747
33,2457.575263372957,2457.575263372957,0.0710553227272292
34,2419.4473038632987,2419.4473038632987,0.07034476949995691
35,2394.076622585438,2394.076622585438,0.06964132180495734
36,2374.9893803863297,2374.9893803863297,0.06894490858690777
37,2337.500078380386,2337.500078380386,0.06825545950103869
38,2333.21898551263,2333.21898551263,0.0675729049060283
39,2316.371810178306,2316.371810178306,0.06689717585696801
40,2282.4020512630013,2282.4020512630013,0.06622820409839833
41,2262.859106240713,2262.859106240713,0.06556592205741435
42,2247.919524145617,2247.919524145617,0.0649102628368402
43,2234.8433190936107,2234.8433190936107,0.06426116020847181
44,2209.066040861813,2209.066040861813,0.06361854860638709
45,2194.895780832095,2194.895780832095,0.06298236312032322
46,2179.8958744427937,2179.8958744427937,0.06235253948911999
47,2160.2987752600297,2160.2987752600297,0.06172901409422879
48,2157.207923476969,2157.207923476969,0.061111723953286505
49,2132.823147845468,2132.823147845468,0.06050060671375364
50,2126.9126277860328,2126.9126277860328,0.0598956006466161
51,2108.330924962853,2108.330924962853,0.05929664464014994
52,2095.0044357355127,2095.0044357355127,0.05870367819374844
53,2070.572799034175,2070.572799034175,0.05811664141181096
54,2063.23319205052,2063.23319205052,0.05753547499769285
55,2052.628702080238,2052.628702080238,0.05696012024771592
56,2041.9949030460625,2041.9949030460625,0.05639051904523876
57,2025.8043268945023,2025.8043268945023,0.05582661385478637
58,1997.9392971768202,1997.9392971768202,0.05526834771623851
59,1994.8460791233283,1994.8460791233283,0.054715664239076124
60,1982.2539959138187,1982.2539959138187,0.054168507596685365
61,1970.849661961367,1970.849661961367,0.053626822520718515
62,1957.0970208023773,1957.0970208023773,0.05309055429551133
63,1956.4867433135216,1956.4867433135216,0.05255964875255621
64,1937.5578294947993,1937.5578294947993,0.05203405226503065
65,1930.3454788261515,1930.3454788261515,0.05151371174238034
66,1926.2697715453194,1926.2697715453194,0.050998574624956536
67,1909.5757150817237,1909.5757150817237,0.05048858887870697
68,1901.4513800148588,1901.4513800148588,0.0499837029899199
69,1891.258278231798,1891.258278231798,0.049483865960020704
70,1888.071795319465,1888.071795319465,0.0489890273004205
71,1879.5729546805348,1879.5729546805348,0.048499137027416296
72,1850.8881140416047,1850.8881140416047,0.048014145657142134
73,1847.5171255572066,1847.5171255572066,0.04753400420057071
74,1847.5171255572066,1847.5171255572066,0.04800934424257642
75,1840.8788703566122,1840.8788703566122,0.047529250800150656
76,1826.112912332838,1826.112912332838,0.04705395829214915
77,1822.5612236255572,1822.5612236255572,0.04658341870922766
78,1822.5612236255572,1822.5612236255572,0.047049252896319935
79,1809.7755241456166,1809.7755241456166,0.04657876036735673
80,1805.8930260029717,1805.8930260029717,0.04611297276368317
81,1797.6540022288261,1797.6540022288261,0.04565184303604634
82,1778.7164364784546,1778.7164364784546,0.04519532460568587
83,1773.954175705795,1773.954175705795,0.04474337135962901
84,1761.5407470282319,1761.5407470282319,0.04429593764603272
85,1758.4468005200595,1758.4468005200595,0.04385297826957239
86,1751.7286196136702,1751.7286196136702,0.043414448486876665
87,1745.8457581723626,1745.8457581723626,0.0429803040020079
88,1730.8241875928677,1730.8241875928677,0.04255050096198782
89,1728.3214056463596,1728.3214056463596,0.04212499595236794
90,1713.8573606983655,1713.8573606983655,0.04170374599284426
91,1705.013411961367,1705.013411961367,0.041286708532915814
92,1701.454575780089,1701.454575780089,0.040873841447586656
93,1697.0448016344726,1697.0448016344726,0.04046510303311079
94,1693.44616307578,1693.44616307578,0.040060452002779676
95,1687.3647704309064,1687.3647704309064,0.03965984748275188
96,1682.289588410104,1682.289588410104,0.039263249007924356
97,1669.4511095839525,1669.4511095839525,0.03887061651784511
98,1669.0737600297177,1669.0737600297177,0.03848191035266666
99,1663.9457421991085,1663.9457421991085,0.03809709124913999
100,1655.9530219167905,1655.9530219167905,0.03771612033664859
101,1645.870206909361,1645.870206909361,0.037338959133282106
102,1645.870206909361,1645.870206909361,0.03771234872461493
103,1640.2869650817236,1640.2869650817236,0.037335225237368784
104,1632.4963261515602,1632.4963261515602,0.0369618729849951
105,1631.1060921248143,1631.1060921248143,0.036592254255145146
106,1623.6241723625558,1623.6241723625558,0.03622633171259369
107,1617.6453205794949,1617.6453205794949,0.035864068395467755
108,1614.7729294205053,1614.7729294205053,0.03550542771151308
109,1610.83860141159,1610.83860141159,0.03515037343439795
110,1602.6236062407131,1602.6236062407131,0.03479886970005397
111,1592.1879895988113,1592.1879895988113,0.03445088100305343
112,1586.750929049034,1586.750929049034,0.03410637219302289
113,1572.9359609955422,1572.9359609955422,0.033765308471092666
114,1570.1749156760773,1570.1749156760773,0.03342765538638174
115,1568.8265375185736,1568.8265375185736,0.03309337883251792
