Generation,Fitness,Best fitness,Mutation rate
0,525.1784832317073,525.1784832317073,0.1001
1,525.1784832317073,525.1784832317073,0.05005
2,525.1784832317073,525.1784832317073,0.025025
3,524.4979713883678,524.4979713883678,0.025050024999999997
4,519.07320239212,519.07320239212,0.025075075024999994
5,516.3652362804878,516.3652362804878,0.02510015010002499
6,514.3074742026266,514.3074742026266,0.025125250250125013
7,508.68803764071293,508.68803764071293,0.025150375500375136
8,502.65876934803003,502.65876934803003,0.025175525875875508
9,501.04996130393994,501.04996130393994,0.02520070140175138
10,494.92288402908065,494.92288402908065,0.02522590210315313
11,493.6381578330206,493.6381578330206,0.02525112800525628
12,489.528720684803,489.528720684803,0.025276379133261532
13,489.4404872185741,489.4404872185741,0.02530165551239479
14,486.63075574577863,486.63075574577863,0.025326957167907182
15,481.39896693245777,481.39896693245777,0.025352284125075085
16,475.9420432692308,475.9420432692308,0.02537763640920016
17,475.9420432692308,475.9420432692308,0.01268881820460008
18,471.54337417917446,471.54337417917446,0.012701507022804677
19,471.2856085834897,471.2856085834897,0.01271420852982748
20,468.28447877579737,468.28447877579737,0.012726922738357306
21,464.6191076454034,464.6191076454034,0.012739649661095661
22,460.96847033302066,460.96847033302066,0.012752389310756755
23,458.7937171669794,458.7937171669794,0.01276514170006751
24,457.10767823639776,457.10767823639776,0.012777906841767576
25,453.9388666744841,453.9388666744841,0.012790684748609343
26,453.6022490619137,453.6022490619137,0.01280347543335795
27,450.3819488742964,450.3819488742964,0.012816278908791306
