Generation,Fitness,Best fitness,Mutation rate
0,4189.647713666666,4189.647713666666,0.2525
1,4020.355011,4020.355011,0.255025
2,3896.9022513333334,3896.9022513333334,0.25757525
3,3643.5509096666665,3643.5509096666665,0.2601510025
4,3414.9321133333333,3414.9321133333333,0.262752512525
5,3355.0225353333335,3355.0225353333335,0.26538003765025
6,3327.43898,3327.43898,0.26803383802675246
7,3243.081749,3243.081749,0.27071417640702
8,3141.7480363333334,3141.7480363333334,0.2734213181710902
9,3035.2810423333335,3035.2810423333335,0.27615553135280113
